text,date
month,pulwamaattack,nia,file,fir,leader,includ,abdul,rauf,asghar,muddassir,ahmad,khan,key,planner,action,outfit,plan,toi,2019-03-22 17:33
court,sajjadkhan,pulwamaattack,mastermind,nia,custodyhttpswwwabpliveinindianewsdelhicourtsendssajjadkhancloseaideofpulwamaattackmastermindtoniacustodi,2019-03-22 17:14
sam,pitroda,rahul,gandhi,advisor,mumbai,attack,pulwamaattack,matter,rotawan,help,kasab,sampitroda,2019-03-22 16:58
congress,indulg,hindu,sikh,genocid,muslim,genocid,let,jawan,die,decad,crocodil,pulwamaattack,congresskifakediari,2019-03-22 16:33
pulwamaattack,muddassir,aid,sajjad,mohammad,arrest,fort,delhi,delhi,cell,terrorist,roam,shawl,trader,book,act,nia,2019-03-22 14:20
cell,mohammad,jem,sajjad,pulwamaattack,mastermind,mudassir,ahm,khan,2019-03-22 13:34
trader,post,fb,post,celebr,pulwamaattack,somebodi,slap,mufi,world,floor,peopl,shawl,fund,explos,shefvaidya,hound,2019-03-22 13:22
pak,incindia,advisor,sampitroda,shame,remark,attack,ask,famili,crpfmartyr,killеd,jaishemoham,pulwamaattack,worri,enemi,state,india,jantamaafnahikaregi,2019-03-22 13:00
gem,frm,sam,pitroda,oversea,congress,abt,peopl,jump,entir,abt,pulwamaattack,time,congi,2019-03-22 12:15
sam,pitroda,oversea,congress,pulwamaattack,attack,time,plane,attack,pakistan,isnt,approach,govt,blame,attack,mumbai,attack,2019-03-22 12:05
pak,congress,advisor,sam,pitroda,shame,remark,attack,ask,famili,crpf,jawan,killеd,jem,teггогist,pulwamaattack,bother,pak,citizen,india,jantamaafnahikaregi,2019-03-22 11:48
watch,till,end,understand,root,caus,pulwamaattack,jantamaafnahikaregi,2019-03-22 11:46
pulwamaattack,polit,sam,pitroda,time,chalta,hai,wow,2019-03-22 11:32
delhi,cell,arrest,jais,cdr,sajjad,month,team,cell,tail,sinc,pulwamaattack,toidelhi,timesofindia,2019-03-22 11:21
sampitroda,statement,airstrik,pulwamaattack,2019-03-22 11:11
hey,apologist,chalta,hai,terror,attack,hote,reht,hain,react,polici,congress,duck,modi,chang,india,chang,way,deal,pulwamaattack,deal,2019-03-22 10:07
shri,rahulgandhi,ke,guru,ji,time,sam,pitroda,2019-03-22 09:54
sam,oversea,congress,pulwamaattackdon,attacksit,timeattack,mumbai,alsow,plane,right,approachaccord,deal,world,2019-03-22 09:45
move,chennaiipl,decid,donat,ipl,match,ticket,sale,proce,famili,pulwamaattack,msdhoni,jaihind,2019-03-21 17:43
