text,date
street,sparkman,dr,jordan,ln,2016-07-08 04:50
war,america,rise,stop,polic,terror,life,blacklivesmatt,2016-07-08 04:49
ppl,dont,show,vulner,potu,2016-07-08 04:48
mexicano,solidar,blacklivesmatt,2016-07-08 04:48
union,squar,blacklivesmatt,2016-07-08 04:48
blacklivesmatt,brownlivesmatt,matter,fight,side,2016-07-08 04:47
silenc,violenc,street,demand,atlisreadi,blacklivesmatt,2016-07-08 04:47
march,chicalltoact,blacklivesmatt,altonsterl,2016-07-08 04:47
march,proclaim,blacklivesmatt,system,peopl,2016-07-08 04:46
pm,tonight,blacklivesmatt,altonsterl,philandocastil,dc,delrawnsmal,2016-07-08 04:46
im,blacklivesmatt,union,squar,2016-07-08 04:46
watch,servic,prayer,lament,elca,churchwid,juli,cdt,blacklivesmatt,2016-07-08 04:46
silenc,isnt,ture,reliev,pain,innoc,blacklivesmatt,2016-07-08 04:46
today,juli,th,tweet,2016-07-08 04:45
thank,presid,obama,speak,beauti,forc,blacklivesmatt,potu,2016-07-08 04:44
chill,blacklivesmatt,2016-07-08 04:44
altonsterl,philandocastil,blacklivesmatt,protest,2016-07-08 04:44
pattern,riseup,respect,blacklivesmatt,2016-07-08 04:44
charlott,blacklivesmatt,nojusticenopeac,protectourpeopl,2016-07-08 04:43
bland,honor,school,pvamu,blacklivesmatt,2016-07-08 04:43
march,blacklivesmatt,2016-07-08 04:42
blacklivesmatt,2016-07-08 04:41
blacklivesmatt,simpl,concept,arent,listen,part,problem,2016-07-08 04:41
blacklivesmatt,2016-07-08 04:40
blacklivesmatt,ye,murder,let,2016-07-08 04:40
piedmontparkhang,hysteria,exampl,blacklivesmatt,alien,everyon,2016-07-08 04:40
someth,colour,dictat,blacklivesmatt,2016-07-08 04:39
blacklivesmatt,2016-07-08 04:38
cant,ppl,matter,imbecil,matter,2016-07-08 04:38
blacklivesmatt,recogn,burden,place,citizen,care,obama,2016-07-08 04:38
prioriti,space,blacklivesmatt,2016-07-08 04:38
blacklivesmatt,2016-07-08 04:38
peopl,someth,blacklivesmatt,2016-07-08 04:37
everyon,rt,spread,word,blacklivesmatt,2016-07-08 04:36
panoram,shot,blacklivesmatt,protest,2016-07-08 04:36
america,suppos,blacklivesmatt,altonsterl,philandocastilehttp,2016-07-08 04:36
birmingham,blacklivesmatt,demo,juli,pm,outsid,bullr,pleas,2016-07-08 04:36
