username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-07-16 10:01;20;39;"Feels like there is a revolution about to happen worldwide. # BlackLivesMatter # NiceAttack # TurkeyCoupAttempt";;;# # #;"754171489977499648";https://twitter.com/venusxgg/status/754171489977499648
;2016-07-16 10:00;26;70;"Why # BlackLivesMatter activists are protesting at Fashion Week: http://tnvge.co/FYGAPKD pic.twitter.com/Uz8JOWBy0v";;;#;"754171223698014208";https://twitter.com/TeenVogue/status/754171223698014208
;2016-07-16 09:49;41;94;"Denver's black youth taking a STAND. # BlackLivesMatter # BYDpic.twitter.com/2hGu5oCsFW";;;# #;"754168638307905537";https://twitter.com/TrueTashan/status/754168638307905537
;2016-07-16 09:49;27;23;"# BlackLivesMatter # slavery # ResignObama # Millennialspic.twitter.com/tRxuLVLbi9";;;# # # #;"754168447269953539";https://twitter.com/Godwetrust777/status/754168447269953539
;2016-07-16 09:47;22;43;"YTK LOVES THE LAW ENFORCEMENT!!! # BLACKLIVESMATTER EVERYBODY DESERVES RESPECT N LOVE - YTK pic.twitter.com/7ZxywCnXUC";;;#;"754168125122306048";https://twitter.com/yeahytk/status/754168125122306048
;2016-07-16 09:46;44;65;"Everyone from # BashBack March who was arrested & taken to 7th pct has been released! # BlackLivesMatter # LGBTQpic.twitter.com/SKP63on89j";;;# # #;"754167693520044032";https://twitter.com/AshAgony/status/754167693520044032
;2016-07-16 09:45;43;32;"Strong turnout outside US consulate in # Sydney saying # BlackLivesMatter pic.twitter.com/dAJl2hDt7w";;;# #;"754167504159682560";https://twitter.com/ASENenviro/status/754167504159682560
;2016-07-16 09:42;119;98;"A picture worth a million words. The last comment says it all lmaoooo # BlackLivesMatter pic.twitter.com/bo9prL0Wp7";;;#;"754166789383282688";https://twitter.com/LeahsGlory/status/754166789383282688
;2016-07-16 09:38;11;34;". @ SophiaLamar1 @ lifeandmorelife to THOSE that don't dig the term # BlackLivesMatter DOES NOT merely mean angry protests on the obvious. smdh";;@ @;#;"754165860583874560";https://twitter.com/MrChuckD/status/754165860583874560
;2016-07-16 09:37;22;28;"BREAKING: Officer Fired for Fatally Shooting 22-Year-Old from Atlanta. http://thegrio.com/2016/07/15/officer-fatally-shoots-black-motorist/ … # BLACKLIVESMATTER pic.twitter.com/l4Jhu8MiqQ";;;#;"754165617222189057";https://twitter.com/Eduardo4Action/status/754165617222189057
;2016-07-16 09:34;2173;4423;"Those of us with white privilege must speak up.If you've never had to waive your ID like a peace flag - you should retweet # blacklivesmatter";;;#;"754164744647483393";https://twitter.com/justinbaldoni/status/754164744647483393
;2016-07-16 09:32;25;46;"# BlackLivesMatter SAN DIEGO CA pic.twitter.com/aIl2bTWZQx";;;#;"754164256724004865";https://twitter.com/tiigiist/status/754164256724004865
;2016-07-16 09:28;1617;3694;"just to make sure he doesn't get shot not only breaks my heart but makes me ashamed. We can't let this be our new normal. # blacklivesmatter";;;#;"754163226754093057";https://twitter.com/justinbaldoni/status/754163226754093057
;2016-07-16 09:25;29;43;"# BlackLivesMatter rally and march in Sydney today pic.twitter.com/XMe23XkS5H";;;#;"754162508341006337";https://twitter.com/eRonin/status/754162508341006337
;2016-07-16 09:05;12;27;"# BlackLivesMatter in Portland, Maine pic.twitter.com/WitclltRth";;;#;"754157435414282240";https://twitter.com/dorky_dorcas/status/754157435414282240
;2016-07-16 09:02;30;29;"# BlackLivesMatter Sydney march pic.twitter.com/SB2RfxpaA0";;;#;"754156807094886401";https://twitter.com/droisheealam/status/754156807094886401
;2016-07-16 08:55;24;26;"Listen to this young # Indigenous brother lay it on the line in Sydney # BlackLivesMatter # NoToRacism # IndigenousPridepic.twitter.com/CL58nVzmvi";;;# # # #;"754154990969630720";https://twitter.com/SerkanTheWriter/status/754154990969630720
;2016-07-16 08:51;406;420;"Rest in Peace Alton Sterling. # BlackLivesMatter pic.twitter.com/llb96zOzzA";;;#;"754153957207879680";https://twitter.com/KarenCivil/status/754153957207879680
;2016-07-16 08:50;14;37;"# Blacklivesmatter pic.twitter.com/s5KbeJ3U6w";;;#;"754153729981616128";https://twitter.com/Shortc__/status/754153729981616128
;2016-07-16 08:46;119;167;"# BlackLivesMatter. Reno, NV. pic.twitter.com/bzgPIQYwAr";;;#;"754152742927544320";https://twitter.com/STONESXTHROW/status/754152742927544320
;2016-07-16 08:42;87;132;"May your soul # RIP # PhilandoCastile # BlackLivesMatter pic.twitter.com/vT8XWV89cx";;;# # #;"754151773162475520";https://twitter.com/TommieLHHATL/status/754151773162475520
;2016-07-16 08:38;107;413;"What it's like to be black in Naperville, America: https://m.facebook.com/brian.crooks/posts/10103901923530909 … # BlackLivesMatter";;;#;"754150705045180417";https://twitter.com/SaraRamirez/status/754150705045180417
;2016-07-16 08:34;32;49;"Black-owned banks get rush of new depositors http://usat.ly/29WXGZj # BlackLivesMatter";;;#;"754149608641667073";https://twitter.com/StlGal_36/status/754149608641667073
;2016-07-16 08:22;20;51;"# BlackLivesMatter we need to SUPPORT each other around the world b/c White Supremacy affects all our lives - from the small to the brutal.";;;#;"754146570325471232";https://twitter.com/nakkiahlui/status/754146570325471232
;2016-07-16 08:20;74;91;"# BlackLivesMatter is growing up and visiting every jail in NSW but the time you're 8 yrs because all the males in your family are locked up.";;;#;"754146123124658178";https://twitter.com/nakkiahlui/status/754146123124658178
;2016-07-16 08:19;24;31;"# BlackLivesMatter is hospitals turning away Black people and not proving adequate care - because their lives don't matter.";;;#;"754145926449549313";https://twitter.com/nakkiahlui/status/754145926449549313
;2016-07-16 08:18;53;55;"# BlackLivesMatter is housing commission refusing to fix my grandmothers house until she fell through the floor and died.";;;#;"754145758945751041";https://twitter.com/nakkiahlui/status/754145758945751041
;2016-07-16 08:17;81;89;"# BlackLivesMatter is my mum, 56 yr Black woman, being locked up for not letting police to interrogate Black boy w/ intellectual disability";;;#;"754145414325022721";https://twitter.com/nakkiahlui/status/754145414325022721
;2016-07-16 08:16;13;23;"# SDPD follow to block streets and keep marchers safe @ fox5sandiego # BlackLivesMatter rally in City Heights pic.twitter.com/P5V5gDZDyc";;@;# #;"754145151933485057";https://twitter.com/KrisFox5SD/status/754145151933485057
;2016-07-16 08:14;35;37;"# BlackLivesMatter Imagine living in a world that doesn't want you? That violence permeates in the lives of those shown they don't matter.";;;#;"754144772483276800";https://twitter.com/nakkiahlui/status/754144772483276800
;2016-07-16 08:14;55;56;"A new front in the # BlackLivesMatter Movement is opening: supporting Black Banks # BankBlackBankSmallBankLocal.http://www.usatoday.com/story/money/2016/07/15/black-owned-banks-credit-unions/87118624/ …";;;# #;"754144746772267008";https://twitter.com/BmoreDoc/status/754144746772267008
